koi,sig_tt_min,s_oc_min,pval,source
248.04,14.17,14.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
249.01,3.51,3.27,-0.0,Holczer+2016_J/ApJS/225/9_table4
250.01,4.32,10.99,-16.,Holczer+2016_J/ApJS/225/9_table4
250.02,5.27,12.32,-10.0,Holczer+2016_J/ApJS/225/9_table4
250.04,8.28,7.63,-0.0,Holczer+2016_J/ApJS/225/9_table4
251.01,3.91,4.19,-0.0,Holczer+2016_J/ApJS/225/9_table4
252.01,6.56,6.74,-0.0,Holczer+2016_J/ApJS/225/9_table4
253.01,7.68,6.82,-0.0,Holczer+2016_J/ApJS/225/9_table4
253.02,25.86,46.04,-1.1,Holczer+2016_J/ApJS/225/9_table4
254.01,0.48,0.53,0.0,Holczer+2016_J/ApJS/225/9_table4
255.01,4.98,6.04,-0.0,Holczer+2016_J/ApJS/225/9_table4
257.01,2.52,2.33,-0.0,Holczer+2016_J/ApJS/225/9_table4
260.01,11.29,9.29,-0.0,Holczer+2016_J/ApJS/225/9_table4
260.02,4.19,8.23,-1.4,Holczer+2016_J/ApJS/225/9_table4
260.03,10.74,13.40,-0.0,Holczer+2016_J/ApJS/225/9_table4
262.01,15.35,31.96,-8.7,Holczer+2016_J/ApJS/225/9_table4
262.02,10.62,16.07,-0.4,Holczer+2016_J/ApJS/225/9_table4
263.01,14.54,11.77,-0.0,Holczer+2016_J/ApJS/225/9_table4
265.01,22.29,20.67,0.0,Holczer+2016_J/ApJS/225/9_table4
268.01,3.04,5.14,-0.7,Holczer+2016_J/ApJS/225/9_table4
269.01,13.45,13.80,-0.0,Holczer+2016_J/ApJS/225/9_table4
270.01,18.83,13.82,-0.0,Holczer+2016_J/ApJS/225/9_table4
270.02,12.47,19.32,-0.5,Holczer+2016_J/ApJS/225/9_table4
271.01,5.99,6.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
271.02,5.99,10.38,-1.3,Holczer+2016_J/ApJS/225/9_table4
271.03,15.86,15.68,-0.0,Holczer+2016_J/ApJS/225/9_table4
273.01,4.56,4.21,-0.0,Holczer+2016_J/ApJS/225/9_table4
274.01,30.46,83.30,-16.,Holczer+2016_J/ApJS/225/9_table4
274.02,39.07,110.84,-14.8,Holczer+2016_J/ApJS/225/9_table4
275.01,13.05,14.30,-0.0,Holczer+2016_J/ApJS/225/9_table4
275.02,11.75,20.99,-0.8,Holczer+2016_J/ApJS/225/9_table4
276.01,3.57,3.77,-0.0,Holczer+2016_J/ApJS/225/9_table4
277.01,4.54,120.15,-16.,Holczer+2016_J/ApJS/225/9_table4
277.02,31.16,174.81,-16.,Holczer+2016_J/ApJS/225/9_table4
279.01,1.66,2.91,-1.4,Holczer+2016_J/ApJS/225/9_table4
279.02,11.30,16.85,-0.3,Holczer+2016_J/ApJS/225/9_table4
280.01,3.17,3.77,-0.0,Holczer+2016_J/ApJS/225/9_table4
281.01,9.23,9.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
282.01,2.81,3.96,-0.2,Holczer+2016_J/ApJS/225/9_table4
282.02,21.35,16.30,-0.0,Holczer+2016_J/ApJS/225/9_table4
282.03,15.96,18.01,-0.1,Holczer+2016_J/ApJS/225/9_table4
283.01,3.61,3.43,-0.0,Holczer+2016_J/ApJS/225/9_table4
283.02,30.32,41.29,-0.2,Holczer+2016_J/ApJS/225/9_table4
284.01,11.71,14.69,-0.0,Holczer+2016_J/ApJS/225/9_table4
284.02,15.39,12.64,-0.0,Holczer+2016_J/ApJS/225/9_table4
284.03,19.12,16.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
285.01,5.31,7.34,-0.1,Holczer+2016_J/ApJS/225/9_table4
285.02,14.12,11.62,-0.0,Holczer+2016_J/ApJS/225/9_table4
285.03,20.92,25.61,-0.1,Holczer+2016_J/ApJS/225/9_table4
288.01,9.78,8.37,-0.0,Holczer+2016_J/ApJS/225/9_table4
289.01,7.35,7.13,-0.0,Holczer+2016_J/ApJS/225/9_table4
291.01,10.58,6.08,-0.0,Holczer+2016_J/ApJS/225/9_table4
291.02,23.76,23.03,-0.0,Holczer+2016_J/ApJS/225/9_table4
292.01,12.28,12.83,-0.0,Holczer+2016_J/ApJS/225/9_table4
294.01,8.15,8.27,-0.0,Holczer+2016_J/ApJS/225/9_table4
295.01,8.35,8.55,-0.0,Holczer+2016_J/ApJS/225/9_table4
295.02,25.42,15.85,-0.0,Holczer+2016_J/ApJS/225/9_table4
296.01,8.86,7.52,-0.0,Holczer+2016_J/ApJS/225/9_table4
297.01,17.41,17.21,-0.0,Holczer+2016_J/ApJS/225/9_table4
298.01,11.95,8.71,-0.0,Holczer+2016_J/ApJS/225/9_table4
